iter	MultiClass
0	1.295102699
1	1.213020123
2	1.129554615
3	1.067139332
4	1.010430662
5	0.9599095563
6	0.9159425687
7	0.8719299182
8	0.834285723
9	0.7941447317
10	0.764469469
11	0.7325498299
12	0.7002790083
13	0.6738917779
14	0.6519276305
15	0.6280077686
16	0.604586518
17	0.5831910965
18	0.5635551018
19	0.5459246499
20	0.5327787085
21	0.5166868868
22	0.5040081327
23	0.4881275518
24	0.476977271
25	0.4642495517
26	0.4515456529
27	0.440042381
28	0.4303344806
29	0.4208969526
30	0.4109330656
31	0.4002223555
32	0.3916422699
33	0.3829595361
34	0.3760338334
35	0.369187487
36	0.3610094082
37	0.3531106966
38	0.3470563533
39	0.3411388042
40	0.3340547645
41	0.3282020598
42	0.3220282752
43	0.3171182729
44	0.3105995493
45	0.3044960798
46	0.3011890825
47	0.2967749789
48	0.2920361051
49	0.2876683594
50	0.2833269762
51	0.2798745894
52	0.2762572012
53	0.2725588771
54	0.2698316157
55	0.2660139586
56	0.2626855569
57	0.259944548
58	0.2573570502
59	0.2546595322
60	0.2514753918
61	0.2487237152
62	0.244989412
63	0.2413920845
64	0.2390067726
65	0.2372593116
66	0.2346779642
67	0.2325495527
68	0.2295234586
69	0.2279178602
70	0.2256001759
71	0.2238306384
72	0.2216780897
73	0.2194310796
74	0.2180141039
75	0.2166434175
76	0.2150335961
77	0.2130952025
78	0.2116805072
79	0.209253923
80	0.2078455459
81	0.2062169065
82	0.2046567429
83	0.2035919169
84	0.2019213815
85	0.2003053115
86	0.1983963956
87	0.1967356232
88	0.1955799724
89	0.1941884636
90	0.1924781993
91	0.1911019918
92	0.1895821787
93	0.1882398369
94	0.1865391293
95	0.1852856426
96	0.1843880046
97	0.1833480978
98	0.1820252244
99	0.1805888535
100	0.1793253215
101	0.1782869236
102	0.1773797916
103	0.1765869656
104	0.1754459297
105	0.1744828151
106	0.1734710212
107	0.1724697169
108	0.1711250957
109	0.1699589716
110	0.1691508737
111	0.1682178081
112	0.1673652787
113	0.166397806
114	0.1653572106
115	0.164774449
116	0.1638804459
117	0.162666922
118	0.1617346743
119	0.1609957435
120	0.1600257374
121	0.159042929
122	0.1583090314
123	0.1575388814
124	0.1569351697
125	0.1560839257
126	0.1555888389
127	0.1548626425
128	0.1541732659
129	0.1531342045
130	0.1524287848
131	0.1516981784
132	0.1508345775
133	0.1500542837
134	0.1493084101
135	0.1484939221
136	0.1477709846
137	0.1471381385
138	0.1464082048
139	0.1457488165
140	0.1453142642
141	0.1448048118
142	0.1442735284
143	0.1434316929
144	0.142940995
145	0.1424175495
146	0.1420039196
147	0.1414768565
148	0.1408353841
149	0.1403957963
150	0.1396615617
151	0.1392197518
152	0.1385624238
153	0.1379636485
154	0.1374244581
155	0.1368756245
156	0.1364249443
157	0.1359618205
158	0.1355747532
159	0.135082499
160	0.1345398263
161	0.1336310728
162	0.1330564033
163	0.1323885564
164	0.1318595246
165	0.1314595742
166	0.1310670944
167	0.1305492796
168	0.1300715023
169	0.1296551648
170	0.1290565271
171	0.1286405288
172	0.1279537311
173	0.1275870752
174	0.1271752608
175	0.1267315719
176	0.1264424315
177	0.1258223113
178	0.1254350561
179	0.1251362818
180	0.1247173604
181	0.1239853879
182	0.1236671236
183	0.1231326087
184	0.1227639744
185	0.1222714732
186	0.1219744988
187	0.1216039682
188	0.1213302226
189	0.1209463309
190	0.1205314343
191	0.1199656317
192	0.1197761115
193	0.1194542782
194	0.119119785
195	0.1186610063
196	0.1181158563
197	0.1178237796
198	0.117458125
199	0.1170491295
200	0.1166960136
201	0.1164424827
202	0.1160282784
203	0.1157081567
204	0.1153539431
205	0.1150172483
206	0.1147338997
207	0.1143389763
208	0.1139294438
209	0.1135599677
210	0.1132221499
211	0.1128359456
212	0.1125426405
213	0.112137052
214	0.1119058539
215	0.1116938011
216	0.1113446638
217	0.1109697413
218	0.1106795381
219	0.1103435962
220	0.109998992
221	0.1097575594
222	0.1095479282
223	0.1092409936
224	0.1089339904
225	0.1086044125
226	0.1082648907
227	0.1079838315
228	0.107637241
229	0.1071371576
230	0.106922256
231	0.1066125149
232	0.1062620532
233	0.1058981023
234	0.1056060682
235	0.1051275396
236	0.1047740097
237	0.1045058908
238	0.1041631756
239	0.1038723003
240	0.1036243608
241	0.1031891466
242	0.1029392211
243	0.1027216619
244	0.1025478872
245	0.1022768452
246	0.1020453478
247	0.1017069087
248	0.1014535179
249	0.1012118448
250	0.1009599016
251	0.1007753151
252	0.1005126153
253	0.1002174977
254	0.09997898663
255	0.09978705885
256	0.0995981749
257	0.0994125933
258	0.09923336471
259	0.0988673324
260	0.09865310536
261	0.09842404865
262	0.0981887448
263	0.09792801859
264	0.09769224741
265	0.09750058677
266	0.09717212039
267	0.0968559317
268	0.09664309547
269	0.09643516036
270	0.09625543562
271	0.096045544
272	0.09579260617
273	0.09542545827
274	0.09525002304
275	0.09507421895
276	0.09494809874
277	0.09469218487
278	0.09447685879
279	0.09422655884
280	0.09403843364
281	0.09375299247
282	0.0935031715
