iter	Passed	Remaining
401	19399	28857
402	19448	28810
403	19499	28766
404	19568	28748
405	19626	28714
406	19688	28686
407	19744	28649
408	19794	28602
409	19842	28554
410	19892	28507
411	19940	28458
412	19987	28408
413	20039	28365
414	20107	28343
415	20173	28320
416	20213	28260
417	20261	28211
418	20311	28164
419	20359	28114
420	20408	28067
421	20457	28019
422	20506	27971
423	20554	27922
424	20602	27874
425	20651	27826
426	20703	27783
427	20739	27717
428	20778	27655
429	20822	27601
430	20861	27540
431	20909	27491
432	20954	27438
433	21003	27391
434	21094	27398
435	21185	27405
436	21249	27376
437	21289	27316
438	21349	27282
439	21426	27270
440	21496	27248
441	21567	27228
442	21613	27175
443	21660	27124
444	21711	27077
445	21777	27051
446	21844	27024
447	21904	26990
448	21957	26946
449	22032	26928
450	22116	26921
451	22190	26903
452	22231	26844
453	22274	26787
454	22321	26737
455	22377	26696
456	22458	26685
457	22551	26688
458	22637	26681
459	22708	26657
460	22774	26628
461	22844	26602
462	22889	26547
463	22936	26495
464	22974	26433
465	23018	26377
466	23067	26327
467	23111	26272
468	23159	26221
469	23212	26176
470	23252	26116
471	23296	26060
472	23338	26002
473	23400	25967
474	23463	25933
475	23523	25895
476	23573	25846
477	23622	25796
478	23669	25744
479	23716	25693
480	23781	25659
481	23828	25607
482	23883	25564
483	23931	25514
484	23980	25463
485	24028	25413
486	24077	25362
487	24129	25316
488	24177	25265
489	24226	25215
490	24274	25163
491	24321	25112
492	24370	25062
493	24419	25012
494	24467	24962
495	24517	24913
496	24566	24863
497	24616	24813
498	24664	24763
499	24713	24713
500	24761	24662
501	24810	24612
502	24859	24562
503	24907	24511
504	24955	24461
505	25003	24411
506	25050	24359
507	25097	24307
508	25147	24257
509	25195	24207
510	25244	24157
511	25293	24107
512	25342	24057
513	25391	24008
514	25439	23957
515	25488	23908
516	25539	23860
517	25592	23813
518	25644	23766
519	25703	23726
520	25770	23692
521	25846	23667
522	25909	23630
523	25979	23600
524	26021	23542
525	26094	23514
526	26157	23476
527	26235	23452
528	26291	23408
529	26348	23365
530	26404	23321
531	26478	23293
532	26556	23268
533	26607	23219
534	26657	23169
535	26721	23131
536	26760	23073
537	26807	23020
538	26887	22996
539	26947	22954
540	27002	22909
541	27056	22863
542	27126	22830
543	27178	22782
544	27223	22728
545	27313	22710
546	27399	22691
547	27472	22660
548	27528	22614
549	27587	22571
550	27643	22526
551	27693	22476
552	27742	22424
553	27791	22373
554	27839	22321
555	27887	22270
556	27936	22218
557	27985	22167
558	28032	22115
559	28096	22075
560	28142	22022
561	28187	21968
562	28228	21910
563	28274	21857
564	28312	21798
565	28358	21744
566	28403	21691
567	28451	21638
568	28492	21581
569	28537	21528
570	28578	21471
571	28626	21419
572	28683	21374
573	28741	21330
574	28781	21273
575	28830	21222
576	28888	21178
577	28944	21132
578	28996	21083
579	29044	21032
580	29093	20981
581	29145	20932
582	29193	20881
583	29246	20833
584	29314	20795
585	29357	20740
586	29395	20681
587	29441	20629
588	29491	20579
589	29541	20528
590	29586	20474
591	29634	20423
592	29685	20374
593	29733	20322
594	29784	20273
595	29834	20223
596	29883	20172
597	29929	20119
598	29968	20062
599	30007	20005
600	30053	19952
601	30094	19896
602	30146	19847
603	30198	19798
604	30246	19747
605	30304	19703
606	30379	19668
607	30441	19626
608	30505	19585
609	30565	19541
610	30615	19491
611	30699	19462
612	30753	19415
613	30825	19379
614	30882	19332
615	30931	19281
616	30980	19231
617	31026	19177
618	31094	19138
619	31166	19101
620	31254	19074
621	31306	19025
622	31363	18978
623	31427	18936
624	31481	18888
625	31534	18839
626	31631	18817
627	31692	18773
628	31793	18752
629	31869	18717
630	31955	18686
631	32034	18653
632	32110	18616
633	32192	18584
634	32285	18557
635	32394	18540
636	32470	18503
637	32538	18462
638	32593	18413
639	32660	18371
640	32702	18315
641	32776	18277
642	32817	18220
643	32857	18163
644	32934	18126
645	33013	18091
646	33091	18054
647	33197	18033
648	33317	18019
649	33398	17983
650	33462	17938
651	33532	17897
652	33593	17851
653	33641	17797
654	33690	17745
655	33738	17692
656	33792	17642
657	33838	17587
658	33878	17530
659	33926	17477
660	33971	17422
661	34010	17364
662	34051	17308
663	34088	17249
664	34130	17193
665	34180	17141
666	34246	17097
667	34298	17046
668	34341	16990
669	34428	16957
670	34490	16911
671	34550	16863
672	34607	16815
673	34658	16763
674	34743	16728
675	34786	16672
676	34838	16621
677	34888	16569
678	34936	16516
679	34985	16463
680	35058	16422
681	35133	16381
682	35195	16335
683	35262	16290
684	35311	16238
685	35406	16206
686	35503	16175
687	35599	16143
688	35682	16106
689	35816	16091
690	35953	16077
691	36003	16024
692	36065	15976
693	36139	15934
694	36220	15895
695	36320	15864
696	36377	15813
697	36453	15772
698	36510	15721
699	36566	15671
700	36624	15621
701	36706	15582
702	36770	15534
703	36823	15482
704	36897	15439
705	36961	15391
706	37027	15345
707	37089	15296
708	37150	15248
709	37205	15196
710	37254	15142
711	37303	15088
712	37353	15035
713	37409	14984
714	37482	14940
715	37609	14917
716	37711	14884
717	37796	14844
718	37837	14787
719	37876	14729
720	37923	14674
721	37981	14624
722	38066	14584
723	38134	14537
724	38193	14487
725	38249	14435
726	38304	14383
727	38353	14329
728	38407	14277
729	38506	14242
730	38553	14187
731	38602	14133
732	38651	14079
733	38698	14024
734	38746	13969
735	38787	13913
736	38837	13859
737	38881	13803
738	38932	13750
739	38982	13696
740	39030	13642
741	39078	13588
742	39127	13534
743	39176	13480
744	39224	13426
745	39272	13371
746	39322	13317
747	39371	13264
748	39420	13210
749	39468	13156
750	39517	13102
751	39567	13048
752	39616	12994
753	39664	12941
754	39713	12887
755	39761	12833
756	39810	12779
757	39859	12725
758	39907	12671
759	39964	12620
760	40012	12566
761	40069	12515
762	40118	12461
763	40169	12408
764	40251	12364
765	40343	12324
766	40403	12273
767	40477	12227
768	40561	12184
769	40626	12135
770	40674	12081
771	40723	12027
772	40785	11977
773	40851	11928
774	40916	11878
775	40972	11827
776	41032	11776
777	41091	11725
778	41150	11674
779	41229	11628
780	41311	11584
781	41373	11533
782	41424	11480
783	41488	11430
784	41544	11378
785	41593	11324
786	41638	11269
787	41697	11218
788	41759	11167
789	41806	11113
790	41847	11057
791	41895	11002
792	41945	10949
793	41992	10894
794	42040	10840
795	42089	10786
796	42138	10732
797	42207	10683
798	42263	10631
799	42307	10576
800	42351	10521
801	42396	10466
802	42444	10412
803	42497	10360
804	42548	10306
805	42587	10250
806	42637	10197
807	42684	10142
808	42732	10088
809	42781	10035
810	42826	9980
811	42872	9926
812	42922	9872
813	42967	9818
814	43017	9764
815	43066	9711
816	43115	9657
817	43163	9603
818	43213	9550
819	43260	9496
820	43362	9454
821	43446	9408
822	43514	9358
823	43623	9317
824	43713	9272
825	43797	9226
826	43866	9176
827	43929	9125
828	44014	9079
829	44085	9029
830	44168	8982
831	44258	8936
832	44327	8886
833	44385	8834
834	44443	8782
835	44507	8731
836	44567	8679
837	44619	8625
838	44668	8571
839	44718	8517
840	44766	8463
841	44818	8410
842	44865	8355
843	44912	8301
844	44960	8247
845	45009	8193
846	45057	8139
847	45107	8085
848	45156	8031
849	45205	7977
850	45256	7923
851	45304	7869
852	45353	7815
853	45404	7762
854	45452	7708
855	45501	7654
856	45550	7600
857	45599	7546
858	45648	7492
859	45697	7439
860	45746	7385
861	45812	7334
862	45857	7279
863	45905	7225
864	45948	7171
865	45992	7116
866	46035	7061
867	46080	7007
868	46121	6952
869	46170	6899
870	46219	6845
871	46269	6791
872	46327	6739
873	46376	6685
874	46426	6632
875	46472	6578
876	46509	6522
877	46555	6468
878	46593	6413
879	46639	6359
880	46693	6307
881	46742	6253
882	46791	6200
883	46841	6146
884	46890	6093
885	46938	6039
886	46987	5985
887	47036	5932
888	47084	5878
889	47133	5825
890	47158	5769
891	47206	5715
892	47255	5662
893	47304	5608
894	47353	5555
895	47401	5501
896	47450	5448
897	47499	5395
898	47548	5341
899	47597	5288
900	47645	5235
901	47694	5181
902	47744	5128
903	47792	5075
904	47840	5021
905	47889	4968
906	47940	4915
907	48004	4863
908	48060	4811
909	48116	4758
910	48172	4706
911	48230	4653
912	48289	4601
913	48335	4547
914	48390	4495
915	48439	4442
916	48489	4388
917	48538	4335
918	48584	4282
919	48633	4228
920	48682	4175
921	48731	4122
922	48779	4069
923	48828	4016
924	48878	3963
925	48935	3910
926	49043	3862
927	49132	3811
928	49188	3759
929	49256	3707
930	49328	3655
931	49390	3603
932	49446	3550
933	49504	3498
934	49554	3444
935	49611	3392
936	49648	3338
937	49696	3284
938	49747	3231
939	49806	3179
940	49860	3126
941	49913	3073
942	49975	3020
943	50028	2967
944	50084	2914
945	50135	2861
946	50188	2808
947	50251	2756
948	50300	2703
949	50346	2649
950	50395	2596
951	50444	2543
952	50493	2490
953	50550	2437
954	50598	2384
955	50647	2331
956	50696	2277
957	50736	2224
958	50776	2170
959	50819	2117
960	50893	2065
961	50992	2014
962	51071	1962
963	51118	1908
964	51165	1855
965	51213	1802
966	51264	1749
967	51311	1696
968	51359	1643
969	51427	1590
970	51498	1538
971	51545	1484
972	51593	1431
973	51645	1378
974	51704	1325
975	51758	1272
976	51809	1219
977	51851	1166
978	51901	1113
979	51943	1060
980	51988	1006
981	52024	953
982	52070	900
983	52113	847
984	52159	794
985	52204	741
986	52248	688
987	52288	635
988	52335	582
989	52376	529
990	52416	476
991	52477	423
992	52523	370
993	52592	317
994	52695	264
995	52777	211
996	52856	159
997	52922	106
998	52970	53
999	53009	0
